stop_id,stop_name,stop_lat,stop_lon
401S,Woodlawn,40.886037,-73.878751
402S,Mosholu Pkwy,40.87975,-73.884655
405S,Bedford Park Blvd-Lehman College,40.873412,-73.890064
406S,Kingsbridge Rd,40.86776,-73.897174
407S,Fordham Rd,40.862803,-73.901034
408S,183 St,40.858407,-73.903879
409S,Burnside Av,40.853453,-73.907684
410S,176 St,40.84848,-73.911794
411S,Mt Eden Av,40.844434,-73.914685
412S,170 St,40.840075,-73.917791
413S,167 St,40.835537,-73.9214
414S,161 St-Yankee Stadium,40.827994,-73.925831
415S,149 St-Grand Concourse,40.818375,-73.927351
416S,138 St-Grand Concourse,40.813224,-73.929849
621S,125 St,40.804138,-73.937594
626S,86 St,40.779492,-73.955589
629S,59 St,40.762526,-73.967967
631S,Grand Central-42 St,40.751776,-73.976848
635S,14 St-Union Sq,40.734673,-73.989951
640S,Brooklyn Bridge-City Hall,40.713065,-74.004131
418S,Fulton St,40.710368,-74.009509
419S,Wall St,40.707557,-74.011862
420S,Bowling Green,40.704817,-74.014065
423S,Borough Hall,40.692404,-73.990151
234S,Nevins St,40.688246,-73.980492
235S,Atlantic Av-Barclays Ctr,40.684359,-73.977666
236S,Bergen St,40.680829,-73.975098
237S,Grand Army Plaza,40.675235,-73.971046
238S,Eastern Pkwy-Brooklyn Museum,40.671987,-73.964375
239S,Franklin Av-Medgar Evers College,40.670682,-73.958131
248S,Nostrand Av,40.669847,-73.950466
249S,Kingston Av,40.669399,-73.942161
250S,Crown Hts-Utica Av,40.668897,-73.932942
251S,Sutter Av-Rutland Rd,40.664717,-73.92261
252S,Saratoga Av,40.661453,-73.916327
253S,Rockaway Av,40.662549,-73.908946
254S,Junius St,40.663515,-73.902447
255S,Pennsylvania Av,40.664635,-73.894895
256S,Van Siclen Av,40.665449,-73.889395
257S,New Lots Av,40.666235,-73.884079
622S,116 St,40.798629,-73.941617
623S,110 St,40.79502,-73.94425
624S,103 St,40.7906,-73.947478
625S,96 St,40.785672,-73.95107
627S,77 St,40.77362,-73.959874
628S,68 St-Hunter College,40.768141,-73.96387
630S,51 St,40.757107,-73.97192
632S,33 St,40.746081,-73.982076
633S,28 St,40.74307,-73.984264
634S,23 St,40.739864,-73.986599
636S,Astor Pl,40.730054,-73.99107
637S,Bleecker St,40.725915,-73.994659
638S,Spring St,40.722301,-73.997141
639S,Canal St,40.718803,-74.000193
256N,Van Siclen Av,40.665449,-73.889395
255N,Pennsylvania Av,40.664635,-73.894895
254N,Junius St,40.663515,-73.902447
253N,Rockaway Av,40.662549,-73.908946
252N,Saratoga Av,40.661453,-73.916327
251N,Sutter Av-Rutland Rd,40.664717,-73.92261
250N,Crown Hts-Utica Av,40.668897,-73.932942
249N,Kingston Av,40.669399,-73.942161
248N,Nostrand Av,40.669847,-73.950466
239N,Franklin Av-Medgar Evers College,40.670682,-73.958131
238N,Eastern Pkwy-Brooklyn Museum,40.671987,-73.964375
237N,Grand Army Plaza,40.675235,-73.971046
236N,Bergen St,40.680829,-73.975098
235N,Atlantic Av-Barclays Ctr,40.684359,-73.977666
234N,Nevins St,40.688246,-73.980492
423N,Borough Hall,40.692404,-73.990151
420N,Bowling Green,40.704817,-74.014065
419N,Wall St,40.707557,-74.011862
418N,Fulton St,40.710368,-74.009509
640N,Brooklyn Bridge-City Hall,40.713065,-74.004131
639N,Canal St,40.718803,-74.000193
638N,Spring St,40.722301,-73.997141
637N,Bleecker St,40.725915,-73.994659
636N,Astor Pl,40.730054,-73.99107
635N,14 St-Union Sq,40.734673,-73.989951
634N,23 St,40.739864,-73.986599
633N,28 St,40.74307,-73.984264
632N,33 St,40.746081,-73.982076
631N,Grand Central-42 St,40.751776,-73.976848
630N,51 St,40.757107,-73.97192
629N,59 St,40.762526,-73.967967
628N,68 St-Hunter College,40.768141,-73.96387
627N,77 St,40.77362,-73.959874
626N,86 St,40.779492,-73.955589
625N,96 St,40.785672,-73.95107
624N,103 St,40.7906,-73.947478
623N,110 St,40.79502,-73.94425
622N,116 St,40.798629,-73.941617
621N,125 St,40.804138,-73.937594
416N,138 St-Grand Concourse,40.813224,-73.929849
415N,149 St-Grand Concourse,40.818375,-73.927351
414N,161 St-Yankee Stadium,40.827994,-73.925831
413N,167 St,40.835537,-73.9214
412N,170 St,40.840075,-73.917791
411N,Mt Eden Av,40.844434,-73.914685
410N,176 St,40.84848,-73.911794
409N,Burnside Av,40.853453,-73.907684
408N,183 St,40.858407,-73.903879
407N,Fordham Rd,40.862803,-73.901034
406N,Kingsbridge Rd,40.86776,-73.897174
405N,Bedford Park Blvd-Lehman College,40.873412,-73.890064
402N,Mosholu Pkwy,40.87975,-73.884655
401N,Woodlawn,40.886037,-73.878751
